x_mm,y_mm,I
16.00,28.00,12.865
18.00,28.00,23.218
20.00,28.00,9.044
22.00,28.00,10.093
24.00,28.00,9.390
26.00,28.00,9.732
28.00,28.00,5.183
30.00,28.00,4.748
0.00,30.00,9.271
2.00,30.00,11.059
4.00,30.00,3.823
6.00,30.00,9.586
8.00,30.00,8.974
10.00,30.00,9.192
12.00,30.00,8.130
14.00,30.00,4.777
16.00,30.00,5.980
18.00,30.00,10.686
20.00,30.00,9.392
22.00,30.00,4.134
24.00,30.00,10.687
26.00,30.00,12.594
28.00,30.00,4.008
30.00,30.00,5.455
